metric,preferred_direction,subjects,flux_final_mean,flux_final_sd,sd15_controlnet_mean,sd15_controlnet_sd,mean_difference_flux_minus_baseline,bootstrap_95_ci_low,bootstrap_95_ci_high,exact_sign_flip_p_uncorrected,paired_effect_size_dz_oriented,flux_better_subjects,baseline_better_subjects,ties
source_similarity_proxy,higher,8,0.4669,0.075918,0.377653,0.067113,0.089247,0.035263,0.142958,0.03125,1.089482,7,1,0
white_space_ratio,higher,8,0.883047,0.039035,0.795199,0.083764,0.087848,0.051124,0.131349,0.007812,1.436513,8,0,0
ink_coverage_ratio,descriptive,8,0.105778,0.034297,0.183594,0.074453,-0.077816,-0.117415,-0.045334,0.007812,,,,0
dark_fill_ratio,lower,8,0.041597,0.009687,0.072765,0.0355,-0.031168,-0.052504,-0.014962,0.015625,1.058386,7,1,0
midtone_ratio,lower,8,0.06418,0.029761,0.110828,0.046545,-0.046648,-0.065283,-0.028253,0.007812,1.616365,8,0,0
edge_density,lower,8,0.06495,0.022565,0.107131,0.031603,-0.042181,-0.054265,-0.028288,0.007812,2.097516,8,0,0
small_components_per_megapixel,lower,8,104.904175,71.366451,232.219696,248.164309,-127.315521,-286.579132,3.33786,0.171875,0.570273,6,2,0
small_component_ink_ratio,lower,8,0.013705,0.009732,0.020378,0.023679,-0.006673,-0.020353,0.003184,0.414062,0.364781,5,3,0
largest_dark_region_ratio,lower,8,0.025498,0.006811,0.025932,0.02181,-0.000433,-0.013294,0.010901,0.960938,0.023152,3,5,0
color_pixel_ratio,lower,8,0.002796,0.003094,0.027951,0.024261,-0.025155,-0.043268,-0.013631,0.007812,1.006863,8,0,0
