metric,preferred_direction,subjects,flux_final_mean,flux_final_sd,sd15_controlnet_mean,sd15_controlnet_sd,mean_difference_flux_minus_baseline,bootstrap_95_ci_low,bootstrap_95_ci_high,exact_sign_flip_p_uncorrected,paired_effect_size_dz_oriented,flux_better_subjects,baseline_better_subjects,ties
source_similarity_proxy,higher,8,0.463438,0.066081,0.386935,0.077481,0.076504,0.014132,0.136395,0.0625,0.817295,7,1,0
white_space_ratio,higher,8,0.895654,0.021383,0.779738,0.11085,0.115915,0.054956,0.190385,0.007812,1.099965,8,0,0
ink_coverage_ratio,descriptive,8,0.094651,0.018595,0.167545,0.066363,-0.072894,-0.113674,-0.041191,0.007812,,,,0
dark_fill_ratio,lower,8,0.039986,0.007938,0.059892,0.038967,-0.019907,-0.045254,0.000576,0.140625,0.557484,6,2,0
midtone_ratio,lower,8,0.054666,0.012481,0.107653,0.042822,-0.052988,-0.074943,-0.031196,0.007812,1.588206,8,0,0
edge_density,lower,8,0.060668,0.012447,0.100922,0.020966,-0.040253,-0.052542,-0.026685,0.007812,2.026881,8,0,0
small_components_per_megapixel,lower,8,160.217285,125.147986,468.730927,687.747971,-308.513641,-765.323639,9.536743,0.195312,0.481603,6,2,0
small_component_ink_ratio,lower,8,0.022674,0.015863,0.03916,0.051597,-0.016487,-0.046582,0.006471,0.445312,0.385674,4,4,0
largest_dark_region_ratio,lower,8,0.024909,0.007397,0.022214,0.022886,0.002695,-0.010757,0.01297,0.695312,-0.145917,2,6,0
color_pixel_ratio,lower,8,0.001425,0.001243,0.026192,0.024717,-0.024767,-0.043009,-0.013119,0.007812,0.984334,8,0,0
