rater_id,subject_id,image_A,image_B,identity_A,identity_B,line_cleanliness_A,line_cleanliness_B,coloring_suitability_A,coloring_suitability_B,overall_quality_A,overall_quality_B,preference,notes
R01,M01,images/M01_A.png,images/M01_B.png,,,,,,,,,,
R02,M01,images/M01_A.png,images/M01_B.png,,,,,,,,,,
R03,M01,images/M01_A.png,images/M01_B.png,,,,,,,,,,
R01,M02,images/M02_A.png,images/M02_B.png,,,,,,,,,,
R02,M02,images/M02_A.png,images/M02_B.png,,,,,,,,,,
R03,M02,images/M02_A.png,images/M02_B.png,,,,,,,,,,
R01,M03,images/M03_A.png,images/M03_B.png,,,,,,,,,,
R02,M03,images/M03_A.png,images/M03_B.png,,,,,,,,,,
R03,M03,images/M03_A.png,images/M03_B.png,,,,,,,,,,
R01,M04,images/M04_A.png,images/M04_B.png,,,,,,,,,,
R02,M04,images/M04_A.png,images/M04_B.png,,,,,,,,,,
R03,M04,images/M04_A.png,images/M04_B.png,,,,,,,,,,
R01,M05,images/M05_A.png,images/M05_B.png,,,,,,,,,,
R02,M05,images/M05_A.png,images/M05_B.png,,,,,,,,,,
R03,M05,images/M05_A.png,images/M05_B.png,,,,,,,,,,
R01,M06,images/M06_A.png,images/M06_B.png,,,,,,,,,,
R02,M06,images/M06_A.png,images/M06_B.png,,,,,,,,,,
R03,M06,images/M06_A.png,images/M06_B.png,,,,,,,,,,
R01,M07,images/M07_A.png,images/M07_B.png,,,,,,,,,,
R02,M07,images/M07_A.png,images/M07_B.png,,,,,,,,,,
R03,M07,images/M07_A.png,images/M07_B.png,,,,,,,,,,
R01,M08,images/M08_A.png,images/M08_B.png,,,,,,,,,,
R02,M08,images/M08_A.png,images/M08_B.png,,,,,,,,,,
R03,M08,images/M08_A.png,images/M08_B.png,,,,,,,,,,
