rater_id,subject_id,name,summary_file,claim_count,supported_claim_count,readability_1_5,age_appropriateness_1_5,evidence_ids_valid,notes
R01,M01,"Philip I, Landgrave of Hesse",summaries/Philip_I_Landgrave_of_Hesse.json,,,,,,
R02,M01,"Philip I, Landgrave of Hesse",summaries/Philip_I_Landgrave_of_Hesse.json,,,,,,
R03,M01,"Philip I, Landgrave of Hesse",summaries/Philip_I_Landgrave_of_Hesse.json,,,,,,
R01,M02,Robert Bunsen,summaries/Robert_Bunsen.json,,,,,,
R02,M02,Robert Bunsen,summaries/Robert_Bunsen.json,,,,,,
R03,M02,Robert Bunsen,summaries/Robert_Bunsen.json,,,,,,
R01,M03,Emil von Behring,summaries/Emil_von_Behring.json,,,,,,
R02,M03,Emil von Behring,summaries/Emil_von_Behring.json,,,,,,
R03,M03,Emil von Behring,summaries/Emil_von_Behring.json,,,,,,
R01,M04,Jacob Grimm,summaries/Jacob_Grimm.json,,,,,,
R02,M04,Jacob Grimm,summaries/Jacob_Grimm.json,,,,,,
R03,M04,Jacob Grimm,summaries/Jacob_Grimm.json,,,,,,
R01,M05,Hannah Arendt,summaries/Hannah_Arendt.json,,,,,,
R02,M05,Hannah Arendt,summaries/Hannah_Arendt.json,,,,,,
R03,M05,Hannah Arendt,summaries/Hannah_Arendt.json,,,,,,
R01,M06,Gertrud von Le Fort,summaries/Gertrud_von_Le_Fort.json,,,,,,
R02,M06,Gertrud von Le Fort,summaries/Gertrud_von_Le_Fort.json,,,,,,
R03,M06,Gertrud von Le Fort,summaries/Gertrud_von_Le_Fort.json,,,,,,
R01,M07,Alfred Wegener,summaries/Alfred_Wegener.json,,,,,,
R02,M07,Alfred Wegener,summaries/Alfred_Wegener.json,,,,,,
R03,M07,Alfred Wegener,summaries/Alfred_Wegener.json,,,,,,
R01,M08,Boris Pasternak,summaries/Boris_Pasternak.json,,,,,,
R02,M08,Boris Pasternak,summaries/Boris_Pasternak.json,,,,,,
R03,M08,Boris Pasternak,summaries/Boris_Pasternak.json,,,,,,
